timestamp,agent.name,rule.description,rule.level,rule.id
"Dec 30, 2025 @ 14:55:57.520",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:55:53.520",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:55:47.518",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:55:41.515",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:55:37.514",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:55:31.513",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:55:25.512",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:55:21.511",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:55:11.509",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:55:05.508",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:55:01.507",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:54:55.506",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:54:49.500",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:54:45.499",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:54:39.498",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:54:35.497",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:54:25.489",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:54:17.485",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:54:13.484",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:54:07.483",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:54:03.482",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:53:57.481",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:53:53.481",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:53:47.479",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:53:43.479",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:53:37.477",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:53:33.477",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:52:47.470",ubuntu,PAM: Login session closed.,3,5502
"Dec 30, 2025 @ 14:52:47.470",ubuntu,Successful sudo to ROOT executed.,3,5402
"Dec 30, 2025 @ 14:52:47.470",ubuntu,PAM: Login session opened.,3,5501
"Dec 30, 2025 @ 14:52:19.466",ubuntu,PAM: Login session closed.,3,5502
"Dec 30, 2025 @ 14:52:09.464",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:44:31.403",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:43:53.396",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:43:43.395",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:43:37.393",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:43:23.391",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:43:17.390",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:43:13.389",ubuntu,Apparmor DENIED,3,52002
"Dec 30, 2025 @ 14:41:43.997",ubuntu-endpoint-01,SCA summary: CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Score less than 50% (46),7,19004
"Dec 30, 2025 @ 14:41:32.062",ubuntu-endpoint-01,SCA summary: CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Score less than 50% (46),7,19004
"Dec 30, 2025 @ 14:41:25.067",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure no duplicate group names exist.,3,19008
"Dec 30, 2025 @ 14:41:25.025",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure no duplicate UIDs exist.,3,19008
"Dec 30, 2025 @ 14:41:25.025",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure no duplicate GIDs exist.,3,19008
"Dec 30, 2025 @ 14:41:25.025",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure no duplicate user names exist.,3,19008
"Dec 30, 2025 @ 14:41:24.996",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure shadow group is empty.,3,19008
"Dec 30, 2025 @ 14:41:24.984",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure all groups in /etc/passwd exist in /etc/group.,3,19008
"Dec 30, 2025 @ 14:41:24.984",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure /etc/shadow password fields are not empty.,3,19008
"Dec 30, 2025 @ 14:41:24.963",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure permissions on /etc/security/opasswd are configured.,7,19007
"Dec 30, 2025 @ 14:41:24.963",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure accounts in /etc/passwd use shadowed passwords.,3,19008
"Dec 30, 2025 @ 14:41:24.943",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure permissions on /etc/gshadow- are configured.,3,19008
"Dec 30, 2025 @ 14:41:24.943",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure permissions on /etc/shells are configured.,3,19008
"Dec 30, 2025 @ 14:41:24.923",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure permissions on /etc/gshadow are configured.,3,19008
"Dec 30, 2025 @ 14:41:24.922",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure permissions on /etc/shadow- are configured.,3,19008
"Dec 30, 2025 @ 14:41:24.902",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure permissions on /etc/shadow are configured.,3,19008
"Dec 30, 2025 @ 14:41:24.891",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure permissions on /etc/group- are configured.,3,19008
"Dec 30, 2025 @ 14:41:24.891",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure permissions on /etc/group are configured.,3,19008
"Dec 30, 2025 @ 14:41:24.871",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure permissions on /etc/passwd are configured.,3,19008
"Dec 30, 2025 @ 14:41:24.871",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure permissions on /etc/passwd- are configured.,3,19008
"Dec 30, 2025 @ 14:41:24.862",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure cryptographic mechanisms are used to protect the integrity of audit tools.,3,19009
"Dec 30, 2025 @ 14:41:24.840",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure AIDE is installed.,7,19007
"Dec 30, 2025 @ 14:41:24.840",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure filesystem integrity is regularly checked.,7,19007
"Dec 30, 2025 @ 14:41:24.819",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit tools owner is configured.,7,19007
"Dec 30, 2025 @ 14:41:24.819",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit tools group owner is configured.,7,19007
"Dec 30, 2025 @ 14:41:24.799",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit tools mode is configured.,3,19008
"Dec 30, 2025 @ 14:41:24.789",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit configuration files group owner is configured.,3,19008
"Dec 30, 2025 @ 14:41:24.788",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit configuration files owner is configured.,3,19008
"Dec 30, 2025 @ 14:41:24.768",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit log files group owner is configured.,3,19009
"Dec 30, 2025 @ 14:41:24.768",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit configuration files mode is configured.,3,19008
"Dec 30, 2025 @ 14:41:24.747",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure the running and on disk configuration is the same.,3,19009
"Dec 30, 2025 @ 14:41:24.747",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure the audit configuration is immutable.,3,19009
"Dec 30, 2025 @ 14:41:24.727",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure kernel module loading unloading and modification is collected.,3,19009
"Dec 30, 2025 @ 14:41:24.717",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure successful and unsuccessful attempts to use the chacl command are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.717",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure successful and unsuccessful attempts to use the usermod command are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.696",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure successful and unsuccessful attempts to use the setfacl command are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.693",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure successful and unsuccessful attempts to use the chcon command are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.676",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure file deletion events by users are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.676",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure events that modify the system's Mandatory Access Controls are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.655",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure session initiation information is collected.,3,19009
"Dec 30, 2025 @ 14:41:24.655",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure login and logout events are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.635",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure successful file system mounts are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.624",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure discretionary access control permission modification events are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.614",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure events that modify user/group information are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.604",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure unsuccessful file access attempts are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.594",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure events that modify the system's network environment are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.593",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure events that modify date and time information are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.574",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure events that modify the sudo log file are collected.,3,19009
"Dec 30, 2025 @ 14:41:24.574",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure actions as another user are always logged.,3,19009
"Dec 30, 2025 @ 14:41:24.554",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure changes to system administration scope (sudoers) is collected.,3,19009
"Dec 30, 2025 @ 14:41:24.553",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure system warns when audit logs are low on space.,3,19009
"Dec 30, 2025 @ 14:41:24.533",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure audit logs are not automatically deleted.,3,19009
"Dec 30, 2025 @ 14:41:24.533",ubuntu-endpoint-01,CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Ensure system is disabled when audit logs are full.,3,19009
